% Model:              ns_case1.mph
% Version:            COMSOL 6.0.0.354
% Date:               Apr 6 2023, 11:20
% Dimension:          2
% Nodes:              10201
% Expressions:        3
% Description:        速度场x 分量, 速度场y 分量, 压力
% Length unit:        null
% x                       y                        u @ Re=0.01              v @ Re=0.01              p @ Re=0.01
0                         0                        0                        0                        0
0                         0.020033239867326764     0                        0                        -1.2366339311617411E-5
0                         0.04073541055723117      0                        0                        -9.909913607635679E-5
0                         0.06212884836920138      0                        0                        -2.655015124365246E-4
0                         0.08423663543511653      0                        0                        -4.739163407056681E-4
0                         0.10708262462337005      0                        0                        -6.939194984762233E-4
0                         0.1306914652745676       0                        0                        -9.02017905356476E-4
0                         0.15508862979656687      0                        0                        -0.001079598176285103
0                         0.18030044114755356      0                        0                        -0.001211521015409568
0                         0.2063541012368062       0                        0                        -0.001284871852186624
0                         0.23327772027379193      0                        0                        -0.001287826731350613
0                         0.26110034709725904      0                        0                        -0.0012085605499430228
0                         0.28985200051705073      0                        0                        -0.0010341531004293253
0                         0.31956370170245285      0                        0                        -7.494713202881462E-4
0                         0.35026750765202497      0                        0                        -3.3602185020197814E-4
0                         0.3819965457810215       0                        0                        2.2921886466867564E-4
0                         0.4147850496637248       0                        0                        9.749770358430407E-4
0                         0.4486683959692516       0                        0                        0.0019368211695224458
0                         0.4836831426306842       0                        0                        0.003158211057420554
0                         0.5198670682887094       0                        0                        0.004691363571405248
0                         0.5572592130523215       0                        0                        0.006597789022118611
0                         0.5958999206205682       0                        0                        0.008948273629173857
0                         0.6358308818107847       0                        0                        0.011821973676878322
0                         0.6770951795402824       0                        0                        0.01530415317733114
0                         0.7197373353100214       0                        0                        0.019481924359529133
0                         0.7638033572404237       0                        0                        0.024437224589875076
0                         0.8093407897111503       0                        0                        0.0302360449006274
0                         0.8563987646584036       0                        0                        0.03691314710222901
0                         0.9050280545850997       0                        0                        0.04445103819842977
0                         0.9552811273411066       0                        0                        0.0527539633358498
0                         1.0072122027326516       0                        0                        0.06161484060691988
0                         1.060877311021973        0                        0                        0.07068269602192695
0                         1.116334353380344        0                        0                        0.07942260507119686
0                         1.173643164359677        0                        0                        0.08709436798124132
0                         1.2328655764501246       0                        0                        0.09274238240449412
0                         1.2940654867933286       0                        0                        0.09517593870650612
0                         1.3573089261232905       0                        0                        0.0930361902008034
0                         1.4226641300092515       0                        0                        0.08486186875916886
0                         1.4902016124774429       0                        0                        0.06920208842437685
0                         1.559994242091152        0                        0                        0.04477356303836966
0                         1.6321173205711723       0                        0                        0.010628419763874325
0                         1.7066486640414789       0                        0                        -0.03367790243787177
0                         1.783668686987775        0                        0                        -0.08794597119008415
0                         1.8632604890195128       0                        0                        -0.15124022482385388
0                         1.9455099445289767       0                        0                        -0.22186614835784169
0                         2.030505795344187        0                        0                        -0.29742044609520807
0                         2.118339746475573        0                        0                        -0.3749386537009683
0                         2.209106565059737        0                        0                        -0.4510423678794874
0                         2.302904182607043        0                        0                        -0.5222842314012158
0                         2.3998338006633664       0                        0                        -0.5851879501845665
0                         2.5                      0                        0                        -0.6369381349064128
0                         2.6001661993366336       0                        0                        -0.6739761483604743
0                         2.697095817392957        0                        0                        -0.6958010606770683
0                         2.790893434940263        0                        0                        -0.7047983021235439
0                         2.8816602535244265       0                        0                        -0.7033466492562588
0                         2.9694942046558133       0                        0                        -0.6939992300388674
0                         3.054490055471023        0                        0                        -0.6790530709013131
0                         3.1367395109804876       0                        0                        -0.660557170976133
0                         3.2163313130122244       0                        0                        -0.6401787825090496
0                         3.293351335958521        0                        0                        -0.6192286215485538
0                         3.367882679428829        0                        0                        -0.5986583899432563
0                         3.4400057579088483       0                        0                        -0.5791167598134846
0                         3.509798387522557        0                        0                        -0.5609980033635282
0                         3.577335869990748        0                        0                        -0.5445030874381304
0                         3.6426910738767093       0                        0                        -0.5296908686199795
0                         3.7059345132066706       0                        0                        -0.5165242499108732
0                         3.767134423549876        0                        0                        -0.5049062926231451
0                         3.826356835640322        0                        0                        -0.4947076067756811
0                         3.883665646619656        0                        0                        -0.48578622708623215
0                         3.939122688978026        0                        0                        -0.4780057224716976
0                         3.992787797267349        0                        0                        -0.47124082417906404
0                         4.044718872658892        0                        0                        -0.46537880653084546
0                         4.0949719454149          0                        0                        -0.4603126100487597
0                         4.143601235341595        0                        0                        -0.4559303683088165
0                         4.1906592102888505       0                        0                        -0.45210600946947377
0                         4.236196642759575        0                        0                        -0.4486951133329129
0                         4.280262664689978        0                        0                        -0.4455377250896845
0                         4.322904820459717        0                        0                        -0.44246711821827817
0                         4.364169118189215        0                        0                        -0.43932220290624446
0                         4.404100079379431        0                        0                        -0.4359614676757933
0                         4.442740786947679        0                        0                        -0.4322773093638122
0                         4.480132931711291        0                        0                        -0.42821032553414984
0                         4.516316857369317        0                        0                        -0.4237630819025655
0                         4.551331604030748        0                        0                        -0.4190121090223086
0                         4.585214950336275        0                        0                        -0.4141158806672781
0                         4.618003454218979        0                        0                        -0.40931594450304043
0                         4.649732492347976        0                        0                        -0.4049284464901228
0                         4.680436298297547        0                        0                        -0.4013249266447187
0                         4.71014799948295         0                        0                        -0.39890260873084593
0                         4.73889965290274         0                        0                        -0.39804695492181075
0                         4.766722279726208        0                        0                        -0.3991029896017303
0                         4.793645898763193        0                        0                        -0.40234974783144306
0                         4.819699558852447        0                        0                        -0.40799617584575815
0                         4.844911370203434        0                        0                        -0.4162169857735797
0                         4.869308534725434        0                        0                        -0.42724493515246
0                         4.89291737537663         0                        0                        -0.44155500916157264
0                         4.915763364564883        0                        0                        -0.4602326576441103
0                         4.937871151630799        0                        0                        -0.4856643646285576
0                         4.959264589442769        0                        0                        -0.5227814091223729
0                         4.979966760132673        0                        0                        -0.6000403629729436
0                         5                        0                        0                        -0.6701739035917104
0.020033239867326413      0                        0                        0                        1.2420823195333627E-5
0.020033239867326413      0.10708262462337005      1.8876954081754774E-4    -5.941962774391955E-4    -5.820022416569432E-4
0.020033239867326417      0.04073541055723117      1.2171098424320436E-5    1.8843816892138046E-5    -7.574175833572622E-5
0.020033239867326417      0.062128848369201364     6.824543679611467E-5     -6.695766027026408E-5    -2.1527021887925572E-4
